(6792)1109 135704.4#WAR(npApp.c@660):	npApp - * * *   N E W P O S   S T A R T E D   * * *
(6792)1109 135704.4#INF(npApp.c@661):	npApp - build:6_1_17B191 $RCSfile: npApp.c,v $$Revision: 1.120.2.7 $ Jun 17 2011 09:20:39
(6792)1109 135704.5#FIN(npApp.c@682):	npApp - INIT - About to unzip files
(6792)1109 135704.5#FIN(npApp.c@690):	npApp - About to launch Splash
(6792)1109 135704.5#FIN(npApp.c@694):	npApp - About to launch JavaScript Engine
(6792)1109 135704.5#INF(npApp.c@295):	npApp - Initializing Java Engine
(6792)1109 135704.5#DEB(npApp.c@298):	npApp - InitJavaEngine - Calling npreCreateScriptsRuntime
(6792)1109 135704.5#DEB(npApp.c@305):	npApp - InitJavaEngine - Calling npreInitJSInstance
(6792)1109 135704.5#DEB(npApp.c@308):	npApp - InitJavaEngine - Calling npreGetBindedContext
(6792)1109 135704.5#FIN(npApp.c@701):	npApp - About to launch Parse structures
(6792)1109 135704.5#INF(npParseAll.c@251):	[npParsTb.dll] build:6_1_17B191 $RCSfile: npParseAll.c,v $$Revision: 1.57.2.3 $ Jun 17 2011 09:13:36
(6792)1109 135704.5#DEB(npSplash.c@311):	Parsing POSDB
(6792)1109 135704.6#DEB(npParseAll.c@200):	[npcfLoadPropertyFile] Property File loaded: [C:\NewPOS61Train\PosData\i18n\pos-errors61.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [DOM W3C] by [DOM W3C] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [NPRDTABLE] by [NPRDTABLE] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [NPLOADMOD] by [NPLOADMOD] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
(6792)1109 135704.6#INF(nprePropertyFile.c@156):	Property Message overwritten: [NPSCEW] by [NPSCEW] in file [C:\NewPOS61Train\PosData\i18n\pos-errors61_en.properties]
