(0680)1109 135358.3#WAR(npApp.c@660):	npApp - * * *   N E W P O S   S T A R T E D   * * *
(0680)1109 135358.4#WAR(npreOSItf.c@2057):	[npreOSItf] npreGetViewFromFileMapping, CreateFile(C:\NewPOS61Train\PosData\i18n\pos-errors61_enUK.properties) error = 2: The system cannot find the file specified.
(0680)1109 135358.4#WAR(npreOSItf.c@2057):	[npreOSItf] npreGetViewFromFileMapping, CreateFile(C:\NewPOS61Train\PosData\i18n\pos-errors61_enUK.properties) error = 2: The system cannot find the file specified.
(0680)1109 135358.4#WAR(npreOSItf.c@2057):	[npreOSItf] npreGetViewFromFileMapping, CreateFile(C:\NewPOS61Train\PosData\i18n\pos-messages61_enUK.properties) error = 2: The system cannot find the file specified.
(0680)1109 135358.4#WAR(npreOSItf.c@2057):	[npreOSItf] npreGetViewFromFileMapping, CreateFile(C:\NewPOS61Train\PosData\i18n\pos-messages61_enUK.properties) error = 2: The system cannot find the file specified.
(0680)1109 135358.4#WAR(npreOSItf.c@2057):	[npreOSItf] npreGetViewFromFileMapping, CreateFile(C:\NewPOS61Train\PosData\i18n\pos-localmessages61.properties) error = 2: The system cannot find the file specified.
(0680)1109 135358.4#WAR(npreOSItf.c@2057):	[npreOSItf] npreGetViewFromFileMapping, CreateFile(C:\NewPOS61Train\PosData\i18n\pos-localmessages61_en.properties) error = 2: The system cannot find the file specified.
(0680)1109 135358.4#WAR(npreOSItf.c@2057):	[npreOSItf] npreGetViewFromFileMapping, CreateFile(C:\NewPOS61Train\PosData\i18n\pos-localmessages61_enUK.properties) error = 2: The system cannot find the file specified.
(0680)1109 135358.4#WAR(npreOSItf.c@2057):	[npreOSItf] npreGetViewFromFileMapping, CreateFile(C:\NewPOS61Train\PosData\i18n\pos-localmessages61_enUK.properties) error = 2: The system cannot find the file specified.
(0680)1109 135358.4#WAR(npreOSItf.c@2057):	[npreOSItf] npreGetViewFromFileMapping, CreateFile(C:\NewPOS61Train\PosData\i18n\pos-localmessages_en.properties) error = 2: The system cannot find the file specified.
(0680)1109 135358.4#WAR(npreOSItf.c@2057):	[npreOSItf] npreGetViewFromFileMapping, CreateFile(C:\NewPOS61Train\PosData\i18n\pos-resources61.properties) error = 2: The system cannot find the file specified.
(0680)1109 135358.4#WAR(npreOSItf.c@2057):	[npreOSItf] npreGetViewFromFileMapping, CreateFile(C:\NewPOS61Train\PosData\i18n\pos-resources61_en.properties) error = 2: The system cannot find the file specified.
(0680)1109 135358.4#WAR(npreOSItf.c@2057):	[npreOSItf] npreGetViewFromFileMapping, CreateFile(C:\NewPOS61Train\PosData\i18n\pos-resources61_enUK.properties) error = 2: The system cannot find the file specified.
(0680)1109 135358.4#WAR(npreOSItf.c@2057):	[npreOSItf] npreGetViewFromFileMapping, CreateFile(C:\NewPOS61Train\PosData\i18n\pos-resources61_enUK.properties) error = 2: The system cannot find the file specified.
(0680)1109 135358.4#WAR(npreOSItf.c@2057):	[npreOSItf] npreGetViewFromFileMapping, CreateFile(C:\NewPOS61Train\PosData\i18n\pos-resources_enUK.properties) error = 2: The system cannot find the file specified.
(0680)1109 135358.4#WAR(npreOSItf.c@2057):	[npreOSItf] npreGetViewFromFileMapping, CreateFile(C:\NewPOS61Train\PosData\i18n\pos-resources_enUK.properties) error = 2: The system cannot find the file specified.
(0680)1109 135358.4#WAR(npreRdTb.c@1733):	genXCreateTable:Error parsing xml rc:0x50e00 (line: 0)
(4600)1109 135358.9#WAR(npreControlProcess.c@490):	[npreCP_Initialize] build:6_1_17B191 $RCSfile: npreControlProcess.c,v $$Revision: 1.3.8.2 $ Jun 17 2011 09:13:09
(0340)1109 135402.1#WAR(npreOSItf.h@902):	[npreOSItf] npreDeleteFile, DeleteFile file name = [C:\NewPOS61Train\OutPutFiles002\\POS0002_TLOG_ERASE.CTL] error = 2: The system cannot find the file specified.
(0340)1109 135402.1#WAR(npreOSItf.h@902):	[npreOSItf] npreDeleteFile, DeleteFile file name = [C:\NewPOS61Train\OutPutFiles002\\POS0002_TLOG_RECOVERED_FROMWAY.REC] error = 2: The system cannot find the file specified.
(0340)1109 135402.1#WAR(npreOSItf.c@1596):	[npreOSItf] npre_CreateFile, CreateFile(C:\NewPOS61Train\OutPutFiles002\nptrx_POS0002.tpa) error = 2: The system cannot find the file specified.
(0340)1109 135402.1#WAR(npreOSItf.c@1596):	[npreOSItf] npre_CreateFile, CreateFile(C:\NewPOS61Train\OutPutFiles002\npevt_POS0002.tpa) error = 2: The system cannot find the file specified.
(0340)1109 135402.1#WAR(npreTLog.c@643):	[npreTLog] TL_RecoveryLastFile, no file found [C:\NewPOS61Train\OutPutFiles002\nptrx_POS00_*.tpa]
(0340)1109 135402.1#WAR(npreTLog.c@643):	[npreTLog] TL_RecoveryLastFile, no file found [C:\NewPOS61Train\OutPutFiles002\npevt_POS00_*.tpa]
(0340)1109 135402.2#WAR(npAdpUI.c@185):	[npAdpUI.dll] build:6_1_17B191 $RCSfile: npAdpUI.c,v $$Revision: 1.64.2.3 $ Jun 17 2011 09:16:26
(0340)1109 135402.2#WAR(npreOSItf.h@989):	[npreOSItf] npreGetProcAddress, GetProcAddress proc name [npGUIWSSC_SetSIData] error = 127: The specified procedure could not be found.
(0340)1109 135402.2#WAR(npreOSItf.h@989):	[npreOSItf] npreGetProcAddress, GetProcAddress proc name [npGUI_SetChannel] error = 127: The specified procedure could not be found.
(0340)1109 135402.2#WAR(npreOSItf.h@989):	[npreOSItf] npreGetProcAddress, GetProcAddress proc name [npGUI_Transaction] error = 127: The specified procedure could not be found.
(0340)1109 135402.8#WAR(npGUICL.c@227):	[npGUICL.dll] has been initialized (0x00 3003) !
(0340)1109 135402.8#WAR(npAdpUI.c@257):	[npAdpUI_Initialize] getting SI driver
(0340)1109 135402.8#WAR(npAdpUI.c@259):	[npAdpUI_Initialize] initializing SI driver
(0340)1109 135402.8#WAR(npAdpHttp.c@121):	[npAdpHttp.dll] build:6_1_17B191 $RCSfile: npAdpHttp.c,v $$Revision: 1.22 $ Jun 17 2011 09:13:43
(0340)1109 135402.8#WAR(npDrvHTTP.c@743):	[npDrvHTTP.dll] build:6_1_17B191 $RCSfile: npDrvHTTP.c,v $$Revision: 1.22 $ Jun 17 2011 09:13:41
(0340)1109 135402.8#WAR(npAdpPrn.c@139):	[npAdpPrn.dll] build:6_1_17B191 $RCSfile: npAdpPrn.c,v $$Revision: 1.44.2.4 $ Jun 17 2011 09:16:31
(0340)1109 135402.8#WAR(npreOSItf.h@989):	[npreOSItf] npreGetProcAddress, GetProcAddress proc name [npNetPrn_Initialize] error = 127: The specified procedure could not be found.
(0340)1109 135402.8#WAR(npreOSItf.h@989):	[npreOSItf] npreGetProcAddress, GetProcAddress proc name [npDrvPrn_Query] error = 127: The specified procedure could not be found.
(0340)1109 135402.8#WAR(npreOSItf.h@989):	[npreOSItf] npreGetProcAddress, GetProcAddress proc name [npDrvPrn_SetPrinter] error = 127: The specified procedure could not be found.
(0340)1109 135402.8#WAR(npreOSItf.h@989):	[npreOSItf] npreGetProcAddress, GetProcAddress proc name [npaccTaxInitialize] error = 127: The specified procedure could not be found.
(0340)1109 135402.8#WAR(npreOSItf.h@989):	[npreOSItf] npreGetProcAddress, GetProcAddress proc name [npaccTaxFinalize] error = 127: The specified procedure could not be found.
(0340)1109 135402.8#WAR(npParsePOSDB.c@784):	npcfFindSectionConfig: NULL pointer received
(0340)1109 135402.9#WAR(npParsePOSDB.c@784):	npcfFindSectionConfig: NULL pointer received
(0340)1109 135412.3#WAR(npBusCompMain.c@1922):	[lCheckTLOGWithWayStation] Error contacting WAY Station: status=0x144c00
(0336)1109 135419.0#WAR(npreControlProcess.c@81):	[CP_MainThread] Timeout waiting publisher adaptor activation.
(0336)1109 135419.0#WAR(npreControlProcess.c@85):	[CP_MainThread] Start thread
(0340)1109 135421.3#WAR(npBusCompMain.c@1903):	[BC],[PosGetAuthorization],[4296]
(0340)1109 135421.3#WAR(npBusCompMain.c@1328):	[WF],[],[1],[10],[4296],[WF_ShowManagerMenu],[Level=manager|ScreenNumber=900|SingleSignOn=false]
(3456)1109 135428.2#WAR(npreMsg.c@3972):	[npreMsg] npreMsg2_SendRecvEx, communication from [WAY0300] to [WAY0300] has taken 796 ms - UNKNOWN SERVICE - command = 20150, 1st param = []
(0340)1109 135428.9#WAR(npBusCompMain.c@1903):	[BC],[PosShowScreenWithPassword],[3328]
(0340)1109 135428.9#WAR(npBusCompMain.c@1328):	[WF],[],[903],[11],[3328],[WF_ShowScreenWithPassword],[ScreenNumber=904]
(0340)1109 135436.5#WAR(npBusCompMain.c@1903):	[BC],[PosDayOpen],[6141]
(0340)1109 135437.9#WAR(npBusCompMain.c@1903):	[BC],[PosShutdown],[1375]
(0340)1109 135437.9#WAR(npBusCompMain.c@1328):	[WF],[],[904],[12],[7547],[WF_DayOpen],[]
(4832)1109 135441.0#WAR(npreOSItf.c@265):	[npreOSItf] npreFindClose, FindClose error = 6: The handle is invalid.
(0340)1109 135445.5#WAR(npBusCompAux.c@544):	[HK],[onLoginOperator],[2344]
(0340)1109 135449.4#WAR(npBusCompMain.c@1903):	[BC],[PosShowConfirmationMessage],[2657]
(0340)1109 135449.4#WAR(npBusCompAux.c@544):	[HK],[onConfirmLogin],[2657]
(0340)1109 135449.6#WAR(npBusCompMain.c@1903):	[BC],[PosDoOperatorLogin],[6375]
(0340)1109 135449.6#WAR(npBusCompMain.c@1328):	[WF],[],[900],[11],[6391],[WF_DoOperatorLogin],[]
(3456)1109 135515.0#WAR(npreMsg.c@3972):	[npreMsg] npreMsg2_SendRecvEx, communication from [WAY0300] to [WAY0300] has taken 797 ms - UNKNOWN SERVICE - command = 20150, 1st param = []
(3456)1109 135601.8#WAR(npreMsg.c@3972):	[npreMsg] npreMsg2_SendRecvEx, communication from [WAY0300] to [WAY0300] has taken 797 ms - UNKNOWN SERVICE - command = 20150, 1st param = []
(3456)1109 135648.6#WAR(npreMsg.c@3972):	[npreMsg] npreMsg2_SendRecvEx, communication from [WAY0300] to [WAY0300] has taken 797 ms - UNKNOWN SERVICE - command = 20150, 1st param = []
(3456)1109 135735.4#WAR(npreMsg.c@3972):	[npreMsg] npreMsg2_SendRecvEx, communication from [WAY0300] to [WAY0300] has taken 797 ms - UNKNOWN SERVICE - command = 20150, 1st param = []
(3456)1109 135822.2#WAR(npreMsg.c@3972):	[npreMsg] npreMsg2_SendRecvEx, communication from [WAY0300] to [WAY0300] has taken 797 ms - UNKNOWN SERVICE - command = 20150, 1st param = []
(5612)0119 095154.1#WAR(npApp.c@660):	npApp - * * *   N E W P O S   S T A R T E D   * * *
(5612)0119 095154.6#WAR(npreOSItf.c@2057):	[npreOSItf] npreGetViewFromFileMapping, CreateFile(c:\NewPOS61Train\PosData\i18n\pos-errors61_enUK.properties) error = 2: The system cannot find the file specified.
(5612)0119 095154.6#WAR(npreOSItf.c@2057):	[npreOSItf] npreGetViewFromFileMapping, CreateFile(c:\NewPOS61Train\PosData\i18n\pos-errors61_enUK.properties) error = 2: The system cannot find the file specified.
(5612)0119 095154.7#WAR(npreOSItf.c@2057):	[npreOSItf] npreGetViewFromFileMapping, CreateFile(c:\NewPOS61Train\PosData\i18n\pos-messages61_enUK.properties) error = 2: The system cannot find the file specified.
(5612)0119 095154.7#WAR(npreOSItf.c@2057):	[npreOSItf] npreGetViewFromFileMapping, CreateFile(c:\NewPOS61Train\PosData\i18n\pos-messages61_enUK.properties) error = 2: The system cannot find the file specified.
(5612)0119 095154.7#WAR(npreOSItf.c@2057):	[npreOSItf] npreGetViewFromFileMapping, CreateFile(c:\NewPOS61Train\PosData\i18n\pos-localmessages61.properties) error = 2: The system cannot find the file specified.
