(6792)1109 135704.4#WAR(npApp.c@660):	npApp - * * *   N E W P O S   S T A R T E D   * * *
(6792)1109 135704.6#WAR(npreOSItf.c@2057):	[npreOSItf] npreGetViewFromFileMapping, CreateFile(C:\NewPOS61Train\PosData\i18n\pos-errors61_enUK.properties) error = 2: The system cannot find the file specified.
(6792)1109 135704.6#WAR(npreOSItf.c@2057):	[npreOSItf] npreGetViewFromFileMapping, CreateFile(C:\NewPOS61Train\PosData\i18n\pos-errors61_enUK.properties) error = 2: The system cannot find the file specified.
(6792)1109 135704.6#WAR(npreOSItf.c@2057):	[npreOSItf] npreGetViewFromFileMapping, CreateFile(C:\NewPOS61Train\PosData\i18n\pos-messages61_enUK.properties) error = 2: The system cannot find the file specified.
(6792)1109 135704.6#WAR(npreOSItf.c@2057):	[npreOSItf] npreGetViewFromFileMapping, CreateFile(C:\NewPOS61Train\PosData\i18n\pos-messages61_enUK.properties) error = 2: The system cannot find the file specified.
(6792)1109 135704.6#WAR(npreOSItf.c@2057):	[npreOSItf] npreGetViewFromFileMapping, CreateFile(C:\NewPOS61Train\PosData\i18n\pos-localmessages61.properties) error = 2: The system cannot find the file specified.
(6792)1109 135704.6#WAR(npreOSItf.c@2057):	[npreOSItf] npreGetViewFromFileMapping, CreateFile(C:\NewPOS61Train\PosData\i18n\pos-localmessages61_en.properties) error = 2: The system cannot find the file specified.
(6792)1109 135704.6#WAR(npreOSItf.c@2057):	[npreOSItf] npreGetViewFromFileMapping, CreateFile(C:\NewPOS61Train\PosData\i18n\pos-localmessages61_enUK.properties) error = 2: The system cannot find the file specified.
(6792)1109 135704.6#WAR(npreOSItf.c@2057):	[npreOSItf] npreGetViewFromFileMapping, CreateFile(C:\NewPOS61Train\PosData\i18n\pos-localmessages61_enUK.properties) error = 2: The system cannot find the file specified.
(6792)1109 135704.6#WAR(npreOSItf.c@2057):	[npreOSItf] npreGetViewFromFileMapping, CreateFile(C:\NewPOS61Train\PosData\i18n\pos-localmessages_en.properties) error = 2: The system cannot find the file specified.
(6792)1109 135704.7#WAR(npreOSItf.c@2057):	[npreOSItf] npreGetViewFromFileMapping, CreateFile(C:\NewPOS61Train\PosData\i18n\pos-resources61.properties) error = 2: The system cannot find the file specified.
(6792)1109 135704.7#WAR(npreOSItf.c@2057):	[npreOSItf] npreGetViewFromFileMapping, CreateFile(C:\NewPOS61Train\PosData\i18n\pos-resources61_en.properties) error = 2: The system cannot find the file specified.
(6792)1109 135704.7#WAR(npreOSItf.c@2057):	[npreOSItf] npreGetViewFromFileMapping, CreateFile(C:\NewPOS61Train\PosData\i18n\pos-resources61_enUK.properties) error = 2: The system cannot find the file specified.
(6792)1109 135704.7#WAR(npreOSItf.c@2057):	[npreOSItf] npreGetViewFromFileMapping, CreateFile(C:\NewPOS61Train\PosData\i18n\pos-resources61_enUK.properties) error = 2: The system cannot find the file specified.
(6792)1109 135704.7#WAR(npreOSItf.c@2057):	[npreOSItf] npreGetViewFromFileMapping, CreateFile(C:\NewPOS61Train\PosData\i18n\pos-resources_enUK.properties) error = 2: The system cannot find the file specified.
(6792)1109 135704.7#WAR(npreOSItf.c@2057):	[npreOSItf] npreGetViewFromFileMapping, CreateFile(C:\NewPOS61Train\PosData\i18n\pos-resources_enUK.properties) error = 2: The system cannot find the file specified.
